#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
52 0.9439719860 1.2556278139 0.0175489459 1.60000000 94.13333333 81.13333333
53 0.9444722361 1.2881440720 0.0207852336 1.33333333 93.66666667 80.53333333
54 0.9529764882 1.2801400700 0.0254057578 1.46666667 93.93333333 78.93333333
55 0.9509754877 1.2216108054 0.0216036854 1.93333333 93.66666667 79.46666667
56 0.9504752376 1.1040520260 0.0174578706 1.66666667 93.73333333 79.93333333
57 0.9499749875 1.0745372686 0.0158452029 1.80000000 96.86666667 79.93333333
58 0.9524762381 0.9714857429 0.0134674123 1.66666667 96.80000000 79.86666667
59 0.9544772386 0.9659829915 0.0142465766 1.46666667 97.66666667 78.86666667
access %, disaccess %
0.009224722985389639, 0.07825913355959273
|M| = 20
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
00 0.8394197099 5.3521760880 0.1355460588 0.00000000 0.00000000 0.00000000
01 0.8869434717 2.2551275638 0.0315100584 0.00000000 0.00000000 0.00000000
02 0.8949474737 1.8369184592 0.0212321154 0.00000000 0.00000000 0.00000000
03 0.9069534767 1.7413706853 0.0192745593 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0147480020 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0149001197 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0137488049 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0139004056 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0173900998 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0145737484 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0144260754 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0133678186 0.00000000 0.00000000 0.00000000
12 0.9289644822 1.4887443722 0.0165225897 0.00000000 0.00000000 0.00000000
13 0.9319659830 1.3071535768 0.0109237983 0.00000000 0.00000000 0.00000000
14 0.9309654827 1.4492246123 0.0146817159 0.00000000 0.00000000 0.00000000
15 0.9319659830 1.4712356178 0.0178906351 0.00000000 0.00000000 0.00000000
16 0.9314657329 1.2921460730 0.0114552524 0.00000000 0.00000000 0.00000000
17 0.9204602301 1.8494247124 0.0268772518 0.00000000 0.00000000 0.00000000
18 0.9299649825 1.4792396198 0.0212653668 0.00000000 0.00000000 0.00000000
19 0.9334667334 1.4242121061 0.0209080603 0.00000000 0.00000000 0.00000000
20 0.9324662331 1.4172086043 0.0176790145 0.00000000 0.00000000 0.00000000
21 0.9364682341 1.6713356678 0.0279618284 0.00000000 0.00000000 0.00000000
22 0.9414707354 1.4572286143 0.0254511380 0.00000000 0.00000000 0.00000000
23 0.9434717359 1.3721860930 0.0238850878 0.00000000 0.00000000 0.00000000
24 0.9454727364 1.3911955978 0.0211041021 0.00000000 0.00000000 0.00000000
25 0.9429714857 1.4402201101 0.0212533647 0.00000000 0.00000000 0.00000000
26 0.9394697349 1.5852926463 0.0226588372 0.00000000 0.00000000 0.00000000
27 0.9424712356 1.4687343672 0.0203392809 0.00000000 0.00000000 0.00000000
28 0.9424712356 1.3916958479 0.0180572448 0.00000000 0.00000000 0.00000000
29 0.9439719860 1.4432216108 0.0220798597 0.00000000 0.00000000 0.00000000
30 0.8069034517 5.9589794897 0.1164741220 9.05000000 93.30000000 62.50000000
31 0.8324162081 2.5162581291 0.0268837560 3.95000000 99.85000000 68.00000000
32 0.8394197099 2.1760880440 0.0185935049 3.55000000 101.90000000 65.15000000
33 0.8419209605 2.0960480240 0.0168600539 3.35000000 101.60000000 64.95000000
34 0.8664332166 2.0170085043 0.0209040967 2.80000000 103.90000000 65.35000000
35 0.8784392196 1.8834417209 0.0182142390 3.40000000 102.30000000 66.95000000
36 0.8799399700 1.7878939470 0.0151245408 2.45000000 100.85000000 65.90000000
37 0.8949474737 1.7613806903 0.0185303200 2.70000000 102.05000000 67.60000000
38 0.8964482241 1.6123061531 0.0154021682 2.40000000 102.40000000 67.60000000
39 0.8984492246 1.7058529265 0.0184089880 2.80000000 106.25000000 69.05000000
40 0.8974487244 1.8234117059 0.0229235209 2.80000000 105.40000000 67.35000000
41 0.8984492246 1.7123561781 0.0165474210 2.55000000 107.30000000 67.80000000
42 0.9044522261 1.6503251626 0.0162034196 2.25000000 109.25000000 69.55000000
43 0.9184592296 1.7003501751 0.0249870329 2.85000000 112.50000000 106.35000000
44 0.9144572286 1.8004002001 0.0271950819 2.50000000 112.95000000 79.75000000
45 0.9209604802 1.6513256628 0.0260468576 2.10000000 115.40000000 75.20000000
46 0.9239619810 1.5077538769 0.0203167022 1.80000000 115.05000000 74.30000000
47 0.9249624812 1.6743371686 0.0250799254 1.90000000 119.05000000 76.05000000
48 0.9364682341 1.3796898449 0.0195555403 1.60000000 120.55000000 77.20000000
49 0.9369684842 1.6838419210 0.0313430029 1.90000000 122.20000000 81.25000000
50 0.9419709855 1.3501750875 0.0206648653 1.55000000 124.25000000 83.50000000
51 0.9399699850 1.4027013507 0.0217147911 1.75000000 126.60000000 85.60000000
52 0.9439719860 1.2441220610 0.0171345629 1.55000000 128.15000000 88.65000000
53 0.9459729865 1.2761380690 0.0211237387 1.70000000 129.75000000 88.80000000
54 0.9519759880 1.2856428214 0.0252214536 1.50000000 128.70000000 87.05000000
55 0.9499749875 1.2311155578 0.0210062526 1.85000000 128.70000000 87.00000000
56 0.9419709855 1.2351175588 0.0170869832 1.90000000 128.50000000 87.10000000
57 0.9514757379 1.0110055028 0.0143762665 1.70000000 132.50000000 86.90000000
58 0.9439719860 1.0170085043 0.0109208965 1.80000000 131.85000000 86.75000000
59 0.9519759880 0.9634817409 0.0109057001 1.80000000 134.95000000 86.30000000
access %, disaccess %
0.009453791070307452, 0.08109993025804524
|M| = 25
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
00 0.8394197099 5.3521760880 0.1389674620 0.00000000 0.00000000 0.00000000
01 0.8869434717 2.2551275638 0.0308420093 0.00000000 0.00000000 0.00000000
02 0.8949474737 1.8369184592 0.0209955605 0.00000000 0.00000000 0.00000000
03 0.9069534767 1.7413706853 0.0189082986 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0144693099 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0144902945 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0135079493 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0136617777 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0171040768 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0142991694 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0142102856 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0131748370 0.00000000 0.00000000 0.00000000
